TEN,TEN,J,J,Q,A
FLOAT,K,FISH,K,RB,A
HOOK,TEN,SC,K,J,A
HAT,A,K,K,FLOAT,K
K,Q,Q,HOOK,SC,Q
TEN,J,J,SC,J,ANCHOR
K,FLOAT,A,A,A,Q
ANCHOR,A,J,ANCHOR,A,HOOK
ANCHOR,TEN,SC,A,FLOAT,J
HAT,Q,K,ANCHOR,J,Q
Q,FISH,K,K,W,TEN
J,Q,J,W,ANCHOR,HOOK
J,FISH,TEN,Q,TEN,A
W,A,K,J,J,W
J,A,Q,TEN,ANCHOR,FLOAT
K,A,K,Q,A,Q
A,K,ANCHOR,FLOAT,J,K
SC,A,W,K,TEN,Q
HOOK,J,HAT,TEN,K,A
J,ANCHOR,TEN,J,K,J
A,TEN,Q,W,Q,Q
TEN,J,Q,Q,J,TEN
A,FLOAT,TEN,A,HOOK,A
HAT,FLOAT,Q,TEN,HAT,HAT
Q,W,A,FLOAT,HOOK,K
HAT,TEN,W,A,FISH,FISH
TEN,Q,ANCHOR,ANCHOR,TEN,FLOAT
TEN,Q,FLOAT,Q,J,K
FLOAT,W,FISH,FISH,K,FLOAT
HAT,TEN,Q,FLOAT,TEN,HAT
J,TEN,Q,A,W,J
HOOK,J,ANCHOR,J,HOOK,FISH
K,Q,TEN,J,FISH,TEN
A,HAT,K,HOOK,K,TEN
HOOK,Q,TEN,Q,A,FLOAT
K,A,K,TEN,FLOAT,J
Q,HOOK,J,J,Q,FISH
A,W,TEN,A,TEN,TEN
Q,HOOK,RB,HOOK,A,FLOAT
K,Q,A,J,FISH,K
K,HAT,Q,FISH,FLOAT,K
Q,W,HAT,A,HAT,K
FISH,FISH,Q,A,K,J
Q,TEN,FLOAT,ERB,HAT,TEN
HAT,Q,HOOK,HAT,A,A
HAT,HOOK,SC,J,HOOK,W
K,J,W,A,A,ANCHOR
Q,HOOK,TEN,SC,J,K
HOOK,ANCHOR,K,FLOAT,A,K
J,HAT,Q,HAT,HOOK,Q
K,FLOAT,J,HAT,FLOAT,SC
A,J,TEN,Q,HAT,ANCHOR
J,Q,TEN,TEN,TEN,TEN
HOOK,K,K,SC,Q,ANCHOR
Q,J,ANCHOR,TEN,HAT,FLOAT
ANCHOR,HAT,FISH,HAT,J,ANCHOR
W,J,FLOAT,K,K,HOOK
A,FISH,Q,FLOAT,Q,TEN
TEN,HOOK,W,Q,Q,Q
K,J,FISH,HOOK,HAT,HAT
TEN,TEN,A,K,K,FISH
FLOAT,TEN,HAT,HOOK,FISH,Q
A,HOOK,K,HAT,K,W
HOOK,A,RB,FLOAT,W,J
ANCHOR,Q,HOOK,Q,A,K
W,K,HAT,A,W,TEN
TEN,K,A,A,HAT,Q
J,FLOAT,FLOAT,ANCHOR,RB,HOOK
Q,K,HAT,Q,ANCHOR,HAT
Q,SC,HAT,TEN,W,Q
TEN,TEN,ANCHOR,RB,J,TEN
HAT,SC,FISH,K,FLOAT,HAT
TEN,J,TEN,TEN,ANCHOR,FLOAT
A,K,TEN,J,J,K
K,FLOAT,Q,A,Q,A
TEN,TEN,A,TEN,TEN,HAT
J,HAT,A,TEN,K,HOOK
ANCHOR,Q,HOOK,HOOK,A,HOOK
Q,J,J,Q,TEN,J
Q,TEN,J,ANCHOR,TEN,TEN
TEN,RB,FLOAT,FLOAT,FISH,FLOAT
Q,Q,A,TEN,J,FLOAT
ANCHOR,TEN,FLOAT,J,A,HAT
W,A,FISH,K,Q,K
FLOAT,FISH,TEN,Q,FISH,FISH
ANCHOR,J,HOOK,HAT,TEN,RB
J,A,FLOAT,K,A,TEN
FLOAT,ANCHOR,K,K,TEN,TEN
Q,TEN,J,A,HOOK,HOOK
FISH,ERB,HOOK,FISH,J,J
HOOK,HAT,J,J,TEN,J
J,HAT,HAT,J,SC,W
TEN,HOOK,W,FLOAT,Q,A
SC,TEN,J,HOOK,Q,J
FISH,ANCHOR,J,TEN,K,A
K,HAT,HOOK,TEN,TEN,TEN
SC,ANCHOR,J,FLOAT,TEN,TEN
K,ANCHOR,TEN,HAT,TEN,RB
FISH,K,FLOAT,Q,SC,Q
FLOAT,K,K,J,HOOK,J
HAT,J,TEN,Q,ANCHOR,K
FLOAT,SC,A,TEN,Q,FISH
J,J,A,FISH,HOOK,SC
A,TEN,TEN,J,Q,HOOK
FISH,K,ANCHOR,TEN,A,J
HAT,K,ANCHOR,HAT,TEN,A
A,HAT,HOOK,W,HAT,TEN
J,A,ERB,ANCHOR,K,Q
J,RB,J,Q,ERB,ANCHOR
W,Q,A,HAT,Q,TEN
RB,FISH,J,ANCHOR,ANCHOR,ERB
TEN,FLOAT,HAT,FISH,K,HAT
K,K,Q,RB,HAT,HAT
A,HAT,TEN,J,FLOAT,W
TEN,A,HAT,W,J,J
A,Q,Q,TEN,HAT,SC
FISH,W,TEN,TEN,W,HAT
W,J,J,HOOK,FLOAT,A
FLOAT,J,FLOAT,K,ANCHOR,K
TEN,A,K,TEN,J,Q
RB,K,W,HAT,TEN,TEN
TEN,W,A,K,Q,W
ERB,TEN,HOOK,J,TEN,ANCHOR
J,K,Q,W,K,J
Q,HOOK,A,W,K,J
FLOAT,FLOAT,HAT,Q,FLOAT,J
TEN,FLOAT,K,K,Q,Q
J,ANCHOR,TEN,FISH,J,A
