CB,TEN,K,CS,FISH,HAT
W,J,Q,HOOK,FLOAT,TEN
K,Q,J,K,HOOK,HOOK
J,K,HOOK,J,ANCHOR,HAT
J,A,K,HOOK,J,Q
K,ANCHOR,SC,J,HOOK,CB
SC,CG,TEN,FLOAT,FLOAT,J
CG,J,J,HAT,RB,J
Q,W,CG,A,K,J
K,A,BK,W,TEN,K
HOOK,RB,FLOAT,HAT,A,HAT
TEN,FLOAT,FISH,CB,ANCHOR,W
TEN,HAT,CLG,SC,J,A
ANCHOR,FLOAT,W,RB,W,HAT
RB,HOOK,Q,FISH,HOOK,ANCHOR
W,Q,FLOAT,A,FLOAT,TEN
TEN,HOOK,HAT,HOOK,W,FISH
FISH,HAT,SC,Q,CB,TEN
FISH,FLOAT,ERB,HAT,Q,J
A,FISH,CB,K,Q,SC
J,A,CB,ANCHOR,K,FISH
ANCHOR,K,ANCHOR,FLOAT,K,A
TEN,J,K,TEN,A,SC
HAT,Q,W,TEN,W,K
J,ANCHOR,FLOAT,W,J,FLOAT
ANCHOR,W,Q,Q,CLG,K
HOOK,HOOK,CLD,J,A,HOOK
HAT,J,HAT,FLOAT,Q,CS
FISH,ANCHOR,ANCHOR,HOOK,W,ANCHOR
FISH,K,RB,K,HAT,FISH
FISH,FISH,A,J,HAT,TEN
HOOK,HAT,TEN,K,HOOK,K
K,K,J,TEN,J,W
CB,CB,A,CD,ERB,W
HOOK,W,W,CB,RB,J
SC,ANCHOR,K,W,Q,CG
Q,CS,CB,RB,FLOAT,CLG
A,Q,HAT,FLOAT,A,TEN
W,J,FISH,J,HAT,W
K,TEN,RB,J,CB,A
HAT,CLD,TEN,W,HAT,FLOAT
CS,W,Q,K,Q,K
HOOK,TEN,A,Q,TEN,ANCHOR
TEN,FLOAT,FISH,Q,HAT,CS
ERB,TEN,W,CLD,TEN,HOOK
W,CB,HOOK,FLOAT,CD,FLOAT
TEN,J,HOOK,HAT,K,J
FISH,HOOK,J,Q,FISH,FISH
A,TEN,A,CB,HAT,W
K,CB,J,Q,Q,FISH
ANCHOR,RB,HAT,FLOAT,CS,J
W,K,HAT,HAT,CLD,HAT
TEN,Q,FISH,K,FISH,BK
FLOAT,HAT,TEN,HOOK,TEN,HOOK
FLOAT,SC,HAT,TEN,FISH,HAT
J,FISH,J,BK,ANCHOR,ANCHOR
RB,ANCHOR,K,TEN,HOOK,A
A,J,W,FISH,SC,RB
FLOAT,FISH,FISH,A,TEN,Q
HAT,CD,TEN,J,FISH,RB
TEN,TEN,ANCHOR,ANCHOR,BK,HAT
Q,CS,CLG,RB,ANCHOR,ANCHOR
A,J,J,FLOAT,FLOAT,CB
TEN,W,HAT,W,TEN,W
Q,FISH,FLOAT,HOOK,CB,CD
RB,FLOAT,K,CS,CB,Q
Q,CLG,CD,TEN,CS,A
HAT,Q,CS,ANCHOR,J,Q
A,W,A,K,RB,Q
HOOK,SC,TEN,FISH,FLOAT,A
FLOAT,K,TEN,J,ANCHOR,W
W,K,ANCHOR,TEN,K,Q
FLOAT,Q,CB,HAT,K,K
HAT,HAT,HOOK,CLG,FISH,CB
CS,ANCHOR,A,W,SC,HOOK
Q,TEN,FLOAT,Q,A,ERB
BK,A,FLOAT,CB,A,J
CD,HAT,TEN,TEN,TEN,K
W,HOOK,FLOAT,ANCHOR,W,HAT
A,Q,ANCHOR,A,ANCHOR,ANCHOR
K,FLOAT,Q,J,A,CLG
HAT,HAT,HAT,HOOK,TEN,TEN
Q,CLG,Q,CG,K,FLOAT
W,RB,ANCHOR,FISH,K,W
TEN,A,A,K,HOOK,J
K,HOOK,J,A,Q,FLOAT
CLG,ERB,HOOK,CLG,W,TEN
J,W,W,Q,HOOK,Q
J,J,J,FISH,HAT,CLD
ANCHOR,A,RB,HAT,TEN,HOOK
J,TEN,Q,A,J,FISH
ANCHOR,BK,K,HAT,CLG,A
FLOAT,FLOAT,CS,ANCHOR,J,RB
HAT,K,HOOK,GBK,TEN,FLOAT
CB,HAT,Q,FISH,W,Q
FLOAT,FISH,W,A,J,K
CB,HOOK,K,SC,Q,HOOK
Q,TEN,HOOK,W,HAT,TEN
CLG,A,W,ANCHOR,J,FLOAT
CLD,CB,GBK,W,W,CB
HOOK,W,TEN,ERB,FLOAT,TEN
J,TEN,FISH,TEN,CG,TEN
